CONSUMPTION_SEGMENT_CODE,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01
510106,,1,2,-1,2,-1,-1,-0,0,2,-0,-2,-3,0,-0,-1,-2,5,0,0,2,-1,-5,3,-3,-6,6,2,3,0,0,-0,-0,1,1,0,-2,1,2,-1,3,2,-1,2,1,0,-0,-0,-1,0,-0
510108,,1,-2,-4,3,-2,-7,9,9,2,-0,-1,-5,0,2,-2,-2,3,1,-6,7,3,-5,-1,-8,-8,0,12,-7,1,0,1,5,3,-0,1,-3,-1,-1,3,-0,1,-3,-0,6,2,3,1,-3,-0,-0
510109,,1,1,0,1,-2,-1,-0,1,-0,1,-2,0,0,-1,-3,2,3,-2,-1,5,-1,-5,1,-14,5,1,2,4,-0,0,-1,-2,3,2,4,-5,3,2,1,1,-0,2,2,2,1,1,1,-3,3,-0
510113,,2,-2,3,1,0,-0,-5,-0,-1,2,-3,-1,2,2,0,-9,10,-3,2,2,-5,-4,3,-6,-2,2,8,3,0,-1,-3,1,1,-1,1,-3,1,3,2,3,-1,-1,2,0,3,-0,-1,-1,2,-0
510117,,1,3,0,-1,1,-3,-2,5,-0,1,-1,-2,1,0,-7,-3,4,-6,12,2,1,-7,3,-10,6,1,4,0,1,-2,-1,1,2,-0,0,-0,2,1,1,-0,0,-1,2,-1,4,1,-0,-1,3,-0
510118,,0,4,-1,1,0,-3,-2,3,0,-1,-3,-1,0,-0,-3,-4,6,-1,1,-1,1,-4,2,-12,1,0,6,2,1,2,-1,1,1,1,-2,0,1,2,0,1,-0,-0,-1,3,2,3,0,-0,1,-0
510120,,4,-0,-3,4,-2,-5,5,3,2,1,-2,-4,2,-4,-5,2,5,0,-0,3,4,-6,4,-7,-4,3,4,-1,3,-1,-1,-1,5,2,-2,-2,0,2,2,2,1,-3,0,3,4,1,1,-4,1,-0
510128,,-1,2,-0,1,1,2,-0,-0,-0,1,-0,-6,-1,0,-2,0,0,-2,-1,1,13,1,0,11,-5,-1,1,-0,-1,-2,1,-5,-1,-4,7,1,-0,36,3,1,-1,-11,-2,9,-1,-2,8,-3,-1,-0
510130,,-5,1,0,1,-0,-2,2,11,3,3,-5,-11,-6,-4,-3,-1,3,0,1,12,4,-6,6,-19,1,-4,3,2,1,-0,-1,29,3,2,1,-10,-5,1,2,1,0,-1,1,8,1,0,-2,-5,0,-0
510131,,1,1,1,1,-1,-5,0,1,-1,1,1,-4,0,2,-5,-4,6,-4,3,0,8,-2,2,-8,-3,2,4,5,-0,-2,-0,-1,7,-1,3,-8,6,1,1,2,0,-1,2,1,3,-3,1,-2,0,-0
510132,,2,1,1,-0,-2,-1,1,1,-2,2,-2,-3,1,2,-4,3,-1,2,-0,0,-2,-3,2,-4,-0,-1,1,3,0,-1,-1,4,1,1,-1,0,-3,7,2,2,0,-1,-1,4,1,-0,1,-2,3,0
510133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510413,,0,-0,-1,1,-1,1,-1,1,0,0,-1,1,0,-1,-4,4,5,-1,1,-1,1,-2,1,-2,-3,2,0,2,-1,0,0,0,-0,1,-0,1,1,1,0,-0,-0,-0,2,2,2,0,-0,-1,0,0
510419,,0,1,0,2,-1,-1,-0,2,2,0,-2,-3,1,-1,-3,5,-1,-4,2,2,-2,-1,0,-3,6,1,1,4,-2,-3,2,3,-3,-1,5,-1,-0,1,3,-0,-0,1,1,7,2,2,-1,-2,3,0
510433,,-2,-1,4,3,-1,-2,-3,1,-2,1,0,1,-2,1,-2,3,-5,0,4,0,6,-8,-0,12,-2,-2,-0,0,-0,0,4,1,6,-0,-1,0,-2,4,0,0,1,-1,0,2,1,-2,-1,-3,-1,0
510501,,2,1,1,-0,0,-2,1,2,1,-1,-0,-4,2,1,-5,-3,4,-1,1,1,0,-4,-1,-11,3,1,6,6,1,1,1,0,0,-5,2,2,-0,-1,2,2,2,-1,1,1,-2,-0,-0,1,1,0
510515,,-2,4,-1,-1,1,-4,3,3,-2,2,-3,-2,1,1,-5,1,-2,0,3,-1,-0,2,-6,-6,-2,5,0,3,-2,0,1,0,3,1,2,-1,2,2,0,1,0,-1,-4,3,2,2,-3,-1,4,-0
510516,,0,-1,-4,5,0,1,1,-1,0,2,-3,1,2,-3,1,2,-5,4,0,1,0,-2,-0,1,-3,3,0,2,-0,3,-0,-0,-2,-1,1,4,1,-1,8,-1,1,-0,2,-4,-0,-1,1,-0,3,-0
510535,,-1,2,1,-1,-0,-1,-2,3,1,2,-2,-1,-0,2,-4,2,2,0,-2,1,3,-3,-3,-1,-1,4,2,2,1,-2,-1,2,-1,-1,-1,-4,2,5,2,0,-1,-2,-2,2,3,-1,-1,-3,1,-0
510534,,-1,3,-3,1,-0,-1,0,0,2,2,-0,-3,0,1,-5,1,0,3,1,-1,1,3,3,-1,1,1,6,-7,1,0,2,1,-0,-0,-4,2,-0,1,1,-4,1,0,2,1,2,-2,-0,0,2,0
510206,,5,1,2,3,-3,-9,3,3,1,3,-5,-4,5,-3,5,4,-9,-10,10,4,2,-4,-3,-7,-4,10,6,6,1,-5,-2,5,1,1,4,-4,2,7,2,4,-3,-4,2,-1,2,1,-5,-5,8,0
510208,,4,3,3,-1,0,-4,6,3,0,-1,-4,-5,5,0,-0,-16,10,-4,3,8,5,-6,-4,-10,-2,4,4,9,1,-3,-5,11,1,-1,7,-8,2,7,0,6,-1,-4,1,1,1,1,3,-12,9,-0
510212,,0,-3,2,-3,-6,-12,21,10,2,3,-1,-9,2,-3,-3,-7,3,-0,3,12,6,-7,4,-8,-6,1,1,8,-2,-5,-1,7,-0,3,-1,-2,3,4,2,-2,-5,-5,7,8,2,3,-4,-2,9,-0
510215,,-1,6,-3,-2,-0,-3,-1,4,-3,4,-3,-0,2,2,-5,10,-1,-2,-2,-1,1,4,1,1,-5,3,2,3,2,0,-0,-0,0,-1,6,-5,1,3,2,2,-1,-1,-1,2,2,1,-2,-2,3,-0
510219,,-0,2,0,-1,-5,-7,9,6,2,1,-4,-5,3,-3,-9,5,-8,4,4,5,7,-4,-1,-13,-0,2,6,8,1,-4,-4,4,4,2,3,-6,-0,0,0,0,-0,-4,7,3,4,0,1,-7,3,0
510223,,4,3,4,3,2,-7,8,2,-7,-0,-4,-10,7,-1,8,-7,2,-6,5,3,3,-3,-3,-11,-6,4,2,10,3,-1,-4,-3,-1,2,-2,-5,5,1,0,4,-1,-5,1,2,0,2,-2,-6,7,-0
510233,,3,0,-2,-0,-3,-4,8,5,3,1,-3,-5,0,0,-0,2,-6,1,-5,11,2,0,-2,-8,-1,3,2,2,5,-6,0,7,5,0,0,-2,0,2,2,1,-1,-6,5,2,1,2,8,-8,3,0
510235,,3,0,1,3,1,-6,-0,2,5,1,-3,-10,6,1,5,-4,8,-9,6,-2,4,-2,-5,-6,-3,5,2,1,1,-6,1,-4,4,3,0,-3,4,-1,0,0,0,0,-3,2,2,-1,1,-3,7,0
510236,,4,5,2,-0,-3,-4,3,3,1,-2,-4,1,7,-4,2,3,-9,7,-2,1,2,-1,-3,-10,-5,2,9,-1,2,-2,7,0,-0,-1,-0,1,0,4,1,-1,2,-4,4,3,3,1,-1,-4,4,0
510237,,5,2,-5,1,-0,-6,5,7,0,-1,-4,-6,3,1,-5,-3,3,-2,6,-1,8,-8,-1,-14,-6,5,6,12,2,-5,-0,-1,5,4,-4,-13,1,5,7,5,0,-2,-1,5,-1,-0,2,-12,5,-0
510245,,7,4,2,-2,0,-8,3,7,2,3,-3,-7,3,1,-10,0,5,-5,1,5,5,-8,-4,-7,-7,1,7,11,2,-6,1,5,3,3,-3,-8,7,3,4,0,-2,-4,1,9,2,-4,-4,-6,12,0
510248,,11,3,-3,1,-2,-2,2,5,2,-0,-2,-2,4,-3,-2,2,-0,2,-0,2,4,-2,-0,-12,-6,10,1,3,5,1,-0,1,0,2,2,-3,6,3,1,0,-1,2,1,1,2,-2,-0,1,2,-0
