"ID_NAME","CONSUMPTION_SEGMENT_CODE","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01"
"Primary school meal (fixed charges)","220209",-0.197,0.265,-0.002,0.508,0,0,0,0.815,-0.001,0,0,0.617,0,0,0,0.526,0,0,0,1.146,0,0,0,1.175,0,0,0,1.289,0,0,0,-27.854,0.827,0.001,0,0.407,0,0,0,-4.363,0,0,0,-10.537,0,0,0,-2.328,0,0,0,-2.412,0,0,0,1.35,0,0,0,-3.315,0,-0.869
"Secondary school (cafeteria)","220210",-0.197,0.265,-0.002,0.258,0.003,0,0,0.815,-0.003,0,0,-0.057,0,0,0,1.507,-0.002,0,0,1.613,0,0,0,1.264,0,0,0,0.469,0,0,0,2.732,-0.006,0,0,-5.912,0,0,0,2.315,-0.01,0.003,0,1.708,0.001,0,0,1.383,0,0,0,0.555,0,0,0,0.93,0,0,0,1.937,0,-1.112
"Takeaway kebab","220323",0.511,0.219,0.193,-1.074,0.865,0.173,0.198,0.514,1.076,0.248,0.835,0.631,0.802,0.872,2.64,1.472,1.686,0.781,1.156,0.223,1.252,0.688,0.46,0.626,1.449,0.399,0.734,0.502,0.86,0.546,0.644,-0.025,0.646,0.405,0.932,-0.238,1.909,0.227,1.42,0.539,0.537,0.442,0.318,0.234,0.565,-0.027,0.357,-1.061,3.211,0.822,-0.092,0.305,1.371,-0.281,0.089,0.933,0.142,0.798,0.356,0.27,-3.18,3.065
"Takeaway chicken & chips","220326",0.542,0.165,-0.28,-0.15,0.403,-0.141,1.075,0.292,0.66,0.39,0.349,0.592,0.241,1.039,2.177,3.242,1.332,1.14,0.919,0.146,1.945,0.898,1.42,0.223,1.084,1.111,1.14,0.644,0.981,-0.109,1.785,0.199,0.17,0.56,-0.216,0.828,-0.046,0.202,0.733,0.857,0.55,-0.254,-0.09,0.028,0.463,0,-0.214,0.06,0.223,0.094,0.411,0.754,0.219,0.33,0.464,0.043,0.595,0.222,0.019,0.439,0.128,3.778
"Takeaway cooked pastry","220327",0.188,-0.56,0.26,0.445,0.24,0.992,-0.016,0.198,-0.079,0.48,0.279,2.564,0.187,0.615,0.539,0.656,2.616,0.152,1.163,0.379,2.86,1.084,0.06,3.156,0.558,0.439,0.884,0.497,0.233,0.761,-0.122,0.334,0.1,0.066,0.012,0.27,0.196,0.399,0.673,0.227,0.166,1.303,0.305,0.33,-0.026,0.42,0.644,2.215,0.465,0.242,1.064,0.239,0.501,0.154,-0.132,0.021,0.307,0.196,0.083,2.165,0.384,6.202
"Carpenter","410518",0,0,0.12,0,0.204,0.483,0.776,0.409,0.473,0.1,0.09,0.143,0.504,0.011,1.364,0.175,0.073,0.088,0.093,0.538,0.191,0.084,0,0,0.153,0,0,0,0.308,0,0.076,0,0.088,0,0.28,0,0.029,0.698,0,0,0.273,0,0,0,0,0,0,1.067,0.079,0,0.161,0,-0.032,0,0.035,0,-0.14,0,0.432,0,0,0.153
"Electric kettle","430307",-2.606,5.32,-4.726,4.167,2.236,-4.453,3.448,-3.742,13.687,-10.203,5.792,2.374,2.525,-3.353,-2.215,7.614,-4.608,-4.147,4.222,0.124,-0.732,-0.236,-4.777,1.678,6.275,2.339,-0.246,0.877,-0.719,-1.544,2.178,-2.913,0.873,-2.669,2.862,0.387,6.094,-5.865,4.556,-5.574,4.638,-6.559,-0.812,2.528,-0.45,-0.052,1.283,-4.482,2.412,-1.39,0.943,-1.815,5.025,-3.479,-4.095,2.643,3.716,-0.632,-3.501,0.816,7.801,-1.416
"Electric iron","430317",-0.114,-0.366,0.518,1.896,-4.937,6.74,4.473,0.116,3.386,0.115,7.211,-2.008,0.693,-0.561,0.386,-1.787,1.901,0.352,2.542,-1.732,-0.392,1.661,0.136,-1.621,4.293,0.579,4.527,-2.593,2.371,-2.837,-1.433,0.189,0.407,1.053,0.948,2.415,-5.776,-1.78,1.311,-2.35,-0.521,1.063,-4.534,4.237,-6.342,3.474,-1.145,2.832,-1.364,-0.136,-4.489,4.26,-3.638,-0.936,1.293,0.061,4.533,-8.454,10.877,-4.711,2.925,1.329
"Electric razor","430321",-3.64,6.589,1.828,-0.129,-4.971,-3.286,1.822,-7.884,14.09,-13.499,-3.212,13.07,-2.032,-2.041,2.114,1.761,-5.182,0.636,14.256,-1.738,6.532,2.987,-22.541,28.759,-3.809,2.125,-0.308,11.443,-20.186,-0.925,-5.2,22.02,9.644,-1.92,-16.703,9.522,5.344,-11.359,16.202,-16.382,10.442,-2.081,-0.675,4.86,0.176,-7.108,7.694,-5.73,-7.359,5.598,-5.904,8.081,-9.111,8.922,-8.698,1.688,8.434,-13.006,8.099,-7.723,8.472,-11.322
"Stainless steel cutlery set","430419",0.737,-2.579,0.585,-1.557,0.125,-1.678,3.332,-1.201,0.799,2.864,1.595,-0.613,1.512,0.15,2.533,-0.035,-0.357,2.108,1.392,-2.337,3.004,0.594,-1.094,0.626,0.344,-0.681,-1.245,1.412,0.075,2.575,-1.57,-4.604,5.209,-1.005,0.574,-2.673,1.01,0.525,0.17,-0.674,-1.401,2.137,-1.312,-3.303,1.933,2.112,-1.349,-1.674,1.492,-0.072,-3.743,2.604,1.317,-0.111,-0.111,-3.551,2.552,0.118,-0.489,-4.119,3.412,-2.967
