ITEM_ID,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01
220107,,,,,,,,,,,,,1,1,1,-1,-1,2,0,20,2,3,3,2,2,2,3,6,7,7,10,12,11,10,11,11,11,13,13,11,11,11,10,9,10,9,9,9,9,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5
220116,,,,,,,,,,,,,-0,-1,-1,-0,-1,-1,-1,17,4,4,5,3,3,4,4,6,7,7,7,7,7,6,7,7,-2,6,7,5,5,5,4,5,5,6,5,5,12,6,5,6,6,6,6,6,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,5,7
220117,,,,,,,,,,,,,-5,-6,-6,-5,-5,-5,-5,16,3,3,3,4,5,5,5,6,6,7,7,8,8,7,9,9,8,10,11,10,10,10,10,10,10,11,9,9,9,8,7,7,7,7,7,6,6,5,4,5,5,6,6,6,6,6,6,6,5,5,5,5,5
220121,,,,,,,,,,,,,-1,-1,-1,0,1,4,3,22,6,6,7,7,6,7,7,9,8,6,6,8,7,8,7,8,10,10,10,9,10,9,10,10,10,11,11,9,8,9,9,8,9,8,7,6,6,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5
220122,,,,,,,,,,,,,-1,-1,-1,-3,1,4,4,20,5,7,8,7,7,7,7,10,6,7,8,9,9,8,8,8,8,10,10,9,9,9,8,8,9,9,9,8,8,8,8,7,6,6,5,5,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4
220123,,,,,,,,,,,,,1,1,2,3,3,4,1,1,1,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,10,10,10,7,7,7,7,7,7,7,7,7,3,3,3,5,5,5,4,4,4,4
220124,,,,,,,,,,,,,-0,-1,-1,0,1,4,3,18,6,7,8,7,8,8,10,11,8,9,10,12,13,13,13,13,14,14,13,12,14,12,13,10,10,9,10,10,9,9,9,9,7,8,8,8,7,7,5,5,5,5,5,4,5,6,5,5,5,5,5,5,6
220125,,,,,,,,,,,,,-2,-2,-2,-1,-1,-1,-2,17,4,4,4,4,4,4,4,5,5,5,5,6,6,5,6,6,6,8,9,9,9,10,9,9,10,10,9,9,9,8,7,7,7,6,7,6,6,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4
220128,,,,,,,,,,,,,1,1,1,-1,3,5,4,22,6,8,9,7,7,8,8,10,8,8,9,9,11,10,10,10,11,11,12,11,10,11,10,11,10,11,10,9,8,8,7,7,6,5,5,5,4,4,4,4,5,5,4,4,5,5,5,5,5,5,5,6,5
220208,,,,,,,,,,,,,-3,-3,-3,-5,-4,-4,-7,8,-3,6,18,5,5,5,6,8,10,9,11,11,11,5,3,4,5,5,7,5,3,5,6,6,6,5,7,7,7,7,5,4,5,3,2,3,3,3,3,4,3,3,4,5,5,6,16,24,25,26,26,26,25
220209,,,,,,,,,,,,,0,0,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,-26,-25,-25,-25,-26,-26,-26,-26,-30,-30,-30,-30,-13,-14,-14,-14,-16,-16,-16,-16,-15,-15,-15,-15,-3,-3,-3,-3,-4
220210,,,,,,,,,,,,,0,0,1,2,2,1,-0,-0,2,2,2,2,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,3,5,5,5,5,-3,-3,-3,-3,-1,-1,-1,-1,-2,-2,-2,-2,5,5,5,5,4,4,4,4,3,3,3,3,3
220214,,,,,,,,,,,,,-4,-4,-4,-6,-5,-3,-3,11,4,6,17,9,11,10,13,24,20,15,12,14,21,15,15,24,21,21,16,5,9,12,13,10,4,6,6,-2,-1,-2,1,3,3,2,2,3,4,6,5,5,6,9,5,6,5,5,17,26,26,24,26,28,28
220301,,,,,,,,,,,,,4,4,4,5,6,4,3,4,4,5,5,6,7,8,9,13,16,18,19,20,20,20,19,19,19,19,19,15,13,13,13,12,12,11,11,10,9,8,8,8,7,6,5,5,5,4,4,4,5,5,6,6,8,8,9,9,9,9,10,10,10
220303,,,,,,,,,,,,,4,2,2,1,1,1,1,1,1,1,1,2,4,5,5,6,6,9,10,11,12,13,12,11,10,11,11,11,11,9,7,9,8,7,7,7,6,5,4,3,3,3,4,3,3,2,2,2,1,2,2,3,4,4,3,4,4,3,5,5,6
220310,,,,,,,,,,,,,1,1,1,2,3,3,2,18,3,2,3,3,4,4,4,4,4,3,3,3,3,4,6,7,7,7,8,7,7,7,7,8,9,9,8,7,7,6,6,6,7,7,7,6,5,4,4,4,4,4,4,3,3,3,4,6,6,7,7,8,8
220316,,,,,,,,,,,,,6,6,6,-1,-1,-2,-2,3,4,4,1,2,0,-0,-1,1,2,4,6,6,6,8,9,9,10,11,13,14,12,12,11,11,11,9,10,10,6,6,5,4,4,4,3,3,4,4,3,2,4,4,4,3,3,1,1,1,1,2,2,2,3
220318,,,,,,,,,,,,,4,4,4,1,0,1,1,4,3,3,4,4,3,3,4,4,7,8,8,8,9,9,8,9,10,10,10,9,8,8,8,8,7,7,8,6,6,6,6,5,5,4,5,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,3
220319,,,,,,,,,,,,,4,3,3,2,2,2,2,3,3,4,2,3,4,5,5,7,8,8,9,10,10,10,11,11,10,10,10,9,8,8,7,6,6,6,5,5,5,5,4,4,4,5,4,4,5,5,4,3,3,3,3,3,3,3,4,4,3,3,3,4,4
220320,,,,,,,,,,,,,3,2,1,-1,-1,-3,-3,0,1,0,-0,2,2,4,3,6,8,8,9,9,10,12,14,11,11,9,10,9,8,10,11,13,12,10,8,9,8,8,7,8,8,4,3,3,3,3,3,3,5,5,4,6,7,8,9,8,7,7,7,8,7
220323,,,,,,,,,,,,,6,6,6,5,4,5,4,5,4,4,4,5,4,5,5,8,11,12,12,13,13,13,14,13,13,14,14,11,10,10,9,9,8,8,7,8,7,8,7,8,8,8,8,7,8,8,7,6,6,7,8,6,6,7,6,6,6,6,7,7,8
220324,,,,,,,,,,,,,2,2,2,3,4,4,3,2,4,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,5,5,5,6,6,6,5,5,6,6,8,7,7,7,6,6,6,7,8,8,7,6,6,6,5,5,6,6,6,6,4,4,5,4,6
220326,,,,,,,,,,,,,4,5,5,3,1,0,-0,4,4,5,3,3,4,4,5,7,11,12,13,13,13,14,15,16,16,17,17,16,13,12,11,12,12,10,10,8,8,7,6,6,6,6,5,4,3,4,3,3,2,3,2,2,2,2,2,3,3,3,3,3,4
220327,,,,,,,,,,,,,2,2,1,1,3,1,1,1,1,2,3,3,5,5,6,7,7,9,8,10,10,13,14,14,14,15,14,15,15,12,13,11,11,8,7,7,4,4,4,3,3,3,4,4,4,4,4,5,7,7,7,8,8,8,7,6,6,6,6,5,5
220328,,,,,,,,,,,,,3,3,3,-1,-2,-1,1,7,4,4,4,5,6,6,6,10,12,12,13,15,16,16,16,17,16,16,17,15,14,14,15,12,11,10,11,10,10,9,8,8,8,7,6,5,5,5,5,4,4,4,5,5,4,5,6,6,6,6,6,6,6
