ID_NAME,CONSUMPTION_SEGMENT_CODE,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01
Primary school meal (fixed charges),220209,1.0,1.0,1.0,-4.0,-6.0,-3.0,-2.0,-2.0,-4.0,-4.0,-7.0,-8.0,-15.0,-14.0,-14.0,-4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,21.0,17.0,15.0,10.0,6.0,8.0,5.0,5.0,6.0,3.0,8.0,6.0,4.0,6.0,4.0
Secondary school (cafeteria),220210,-2.0,0.0,-2.0,-7.0,-4.0,-7.0,-3.0,-3.0,-7.0,-5.0,-5.0,-8.0,-12.0,-15.0,-11.0,-6.0,-4.0,-4.0,-4.0,-6.0,-5.0,-2.0,-3.0,5.0,11.0,16.0,12.0,12.0,9.0,12.0,11.0,6.0,8.0,8.0,9.0,4.0,4.0,6.0,-1.0
Takeaway kebab,220323,0.0,0.0,-1.0,-4.0,-1.0,5.0,3.0,4.0,2.0,2.0,0.0,3.0,0.0,-3.0,-1.0,3.0,1.0,-4.0,-3.0,-3.0,-2.0,-3.0,0.0,-1.0,2.0,6.0,5.0,5.0,3.0,4.0,3.0,4.0,6.0,9.0,8.0,8.0,7.0,5.0,4.0
Takeaway chicken & chips,220326,1.0,2.0,0.0,-4.0,-1.0,-2.0,-4.0,-2.0,-3.0,-6.0,-7.0,-6.0,-6.0,-1.0,1.0,6.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,10.0,13.0,6.0,6.0,9.0,5.0,6.0,11.0,10.0,14.0,20.0,23.0,16.0,15.0,19.0,18.0
Takeaway cooked pastry,220327,-3.0,-3.0,0.0,-6.0,-5.0,-9.0,-7.0,0.0,0.0,8.0,-1.0,-1.0,9.0,9.0,6.0,7.0,4.0,9.0,10.0,10.0,10.0,10.0,19.0,19.0,7.0,7.0,13.0,14.0,13.0,15.0,14.0,10.0,12.0,6.0,4.0,3.0,0.0,0.0,4.0
Carpenter,410518,-2.0,3.0,10.0,0.0,5.0,6.0,0.0,-11.0,-12.0,-2.0,-14.0,-17.0,-11.0,-20.0,-23.0,-12.0,-18.0,-8.0,0.0,4.0,-5.0,-11.0,4.0,4.0,-1.0,8.0,15.0,9.0,13.0,5.0,2.0,2.0,13.0,10.0,6.0,9.0,8.0,7.0,-8.0
Electric kettle,430307,-4.0,-1.0,-5.0,-14.0,-8.0,-11.0,-1.0,-5.0,-6.0,-2.0,-6.0,-3.0,-11.0,-13.0,-9.0,6.0,9.0,20.0,11.0,3.0,2.0,-1.0,5.0,9.0,18.0,18.0,16.0,9.0,1.0,0.0,0.0,12.0,11.0,10.0,8.0,6.0,5.0,8.0,11.0
Electric iron,430317,-4.0,-1.0,-5.0,-1.0,-11.0,-11.0,-9.0,-11.0,-11.0,-2.0,-4.0,-3.0,-4.0,-16.0,-11.0,-17.0,-1.0,0.0,5.0,-4.0,-9.0,-12.0,-8.0,-7.0,-1.0,11.0,7.0,6.0,0.0,-4.0,-7.0,-3.0,2.0,3.0,4.0,4.0,2.0,3.0,0.0
Electric razor,430321,2.0,0.0,0.0,1.0,4.0,0.0,6.0,-7.0,-2.0,-3.0,-4.0,-3.0,-7.0,-8.0,-5.0,-3.0,-3.0,8.0,1.0,6.0,2.0,6.0,6.0,8.0,15.0,17.0,16.0,16.0,16.0,10.0,9.0,15.0,9.0,5.0,7.0,15.0,9.0,12.0,2.0
Stainless steel cutlery set,430419,0.0,1.0,1.0,-4.0,-8.0,0.0,14.0,-3.0,-1.0,3.0,-8.0,-3.0,-1.0,-9.0,-5.0,0.0,17.0,12.0,6.0,2.0,-3.0,-8.0,2.0,-3.0,3.0,13.0,16.0,17.0,6.0,3.0,3.0,11.0,12.0,15.0,15.0,12.0,11.0,18.0,4.0
