"ID_NAME","CONSUMPTION_SEGMENT_CODE","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01","2024-10-01","2024-11-01","2024-12-01","2025-01-01","2025-02-01","2025-03-01","2025-04-01","2025-05-01","2025-06-01","2025-07-01","2025-08-01","2025-09-01","2025-10-01","2025-11-01","2025-12-01","2026-01-01","2026-02-01","2026-03-01","2026-04-01","2026-05-01","2026-06-01"
"Apples - not cooking","CP0116301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.691,1.273,-0.355,-0.02,0.574,-0.166,1.036,-0.223,0.71,0.77,0.622,1.2,0.337,-0.723,0.717,0.013,-0.808
"Avocados","CP0116199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.191,-1.029,0.564,-0.734,-1.877,0.038,-2.331,3.805,-0.287,-0.881,0.304,0.032,0.803,0.105,1.271,-1.749,-0.37
"Baby food - pouch, pot, or jar","CP0119201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.834,-0.796,0.821,-1.654,1.358
"Baby formula","CP0119202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.815,1.069,-2.528,0.777,-0.362,1.351,0.059,0.226,0.295,-0.914,-0.166,0.592,3.123,0.817,-0.31,0.188,-0.48
"Baked beans","CP0117901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781,-2.173,1.812,-0.434,0.251,-0.117,-0.692,1.123,-0.151,-1.219,1.224,0.074,0.473,0.27,-0.168,-0.084,-2.243
"Bananas","CP0116101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227,-0.063,0.028,0.254,0.008,-0.071,0.175,0.008,0.034,-0.12,0.38,-0.458,1.187,0.228,-1.117,0.266,0.041
"Beans - canned or jarred (excl. baked beans)","CP0117901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.781,-2.173,1.812,-0.434,0.251,-0.117,-0.692,1.123,-0.151,-1.219,1.224,0.074,0.473,0.27,-0.168,-0.084,-2.243
"Beef - burgers","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.802,2.146,4.064,3.823,2.925,2.387,0.884,1.746,0.841,0.404,0.27,-0.069,-0.418,0.651,-0.852,0.329,-1.168
"Beef - joints","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.802,2.146,4.064,3.823,2.925,2.387,0.884,1.746,0.841,0.404,0.27,-0.069,-0.418,0.651,-0.852,0.329,-1.168
"Beef - minced or diced","CP0112201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.802,2.146,4.064,3.823,2.925,2.387,0.884,1.746,0.841,0.404,0.27,-0.069,-0.418,0.651,-0.852,0.329,-1.168
