ID_START,ID_NAME,CONSUMPTION_SEGMENT_CODE,CONSUMPTION_SEGMENT_NAME,Category1,Category2,COICOP5_NAME,COICOP4_NAME,COICOP3_NAME,COICOP2_NAME,WEIGHT_SIZE,AVERAGE_PRICE
202502,Apples - not cooking,CP0116301,"Apples, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,1000 g,2.26
202502,Avocados,CP0116199,"Other tropical fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,1.04
202602,"Baby food - pouch, pot, or jar",CP0119201,Baby food and drinks,Groceries,Other food,Ready-made meals,Food products (nec),Food,Food and non-alcoholic beverages,150 g,1.34
202502,Baby formula,CP0119202,Baby formula,Groceries,Other food,Other milk products,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,750 g,11.72
202502,Baked beans,CP0117901,"Vegetables, tubers and pulses, canned or jarred (excl. pickled vegetables)",Groceries,Store cupboard,"Dried vegetables, other preserved or processed vegetables",Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,425 g,0.91
202502,Bananas,CP0116101,"Bananas, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,1000 g,1.12
202502,Beans - canned or jarred (excl. baked beans),CP0117901,"Vegetables, tubers and pulses, canned or jarred (excl. pickled vegetables)",Groceries,Store cupboard,"Dried vegetables, other preserved or processed vegetables",Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,400 g,0.69
202502,Beef - burgers,CP0112201,"Meat of cows, fresh, chilled or frozen",Groceries,Meat,Beef and veal,Meat,Food,Food and non-alcoholic beverages,454 g,4.12
202502,Beef - joints,CP0112201,"Meat of cows, fresh, chilled or frozen",Groceries,Meat,Beef and veal,Meat,Food,Food and non-alcoholic beverages,1000 g,17.65
202502,Beef - minced or diced,CP0112201,"Meat of cows, fresh, chilled or frozen",Groceries,Meat,Beef and veal,Meat,Food,Food and non-alcoholic beverages,1000 g,11.11
202502,Beef - steak or chops,CP0112201,"Meat of cows, fresh, chilled or frozen",Groceries,Meat,Beef and veal,Meat,Food,Food and non-alcoholic beverages,1000 g,23.56
202502,Beer - ale (excl. pale ales and IPAs),CP0213003,"Beer, ale",Groceries,Alcohol,Other alcoholic beer,Beer,Alcoholic beverages,Alcoholic beverages and tobacco,500 ml,2.09
202502,Beer - lager,CP0213002,"Beer, lager",Groceries,Alcohol,Lager beer,Beer,Alcoholic beverages,Alcoholic beverages and tobacco,5000 ml,15.09
202602,Beer - low or no alcohol,CP0213005,"Beer, low and non-alcoholic",Groceries,Alcohol,Lager beer,Beer,Alcoholic beverages,Alcoholic beverages and tobacco,3000 ml,6.07
202502,"Beer - mild (e.g. bitter, pale ale, IPAs)",CP0213001,"Beer, pale ales and bitters",Groceries,Alcohol,Other alcoholic beer,Beer,Alcoholic beverages,Alcoholic beverages and tobacco,2000 ml,6.15
202502,Beer - stout/porter,CP0213004,"Beer, stout",Groceries,Alcohol,Other alcoholic beer,Beer,Alcoholic beverages,Alcoholic beverages and tobacco,2000 ml,6.1
202502,Biscuits - sweet (excl. cookies),CP0111309,"Biscuits, sweet",Groceries,Biscuits,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,250 g,1.28
202502,Blueberries,CP0116401,"Berries, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,1000 g,11.58
202502,Bread - gluten-free or premium (e.g. sourdough),CP0111303,"Bread rolls, buns, baguettes and other loaves",Groceries,Bakery,Bread,Bread and cereals,Food,Food and non-alcoholic beverages,400 g,2.66
202502,Bread - sliced white,CP0111301,"Bread, white",Groceries,Bakery,Bread,Bread and cereals,Food,Food and non-alcoholic beverages,800 g,1.35
202502,Bread - sliced wholemeal or brown,CP0111302,"Bread, brown or seeded",Groceries,Bakery,Bread,Bread and cereals,Food,Food and non-alcoholic beverages,800 g,1.29
202502,Bread - unsliced white,CP0111301,"Bread, white",Groceries,Bakery,Bread,Bread and cereals,Food,Food and non-alcoholic beverages,800 g,1.98
202502,Fish - breaded or battered (e.g. fingers and goujons),CP0113301,"Breaded and battered fish, chilled or frozen",Groceries,Fish,Other preserved or processed fish and seafood-based preparations,Fish,Food,Food and non-alcoholic beverages,300 g,2.83
202502,Fish - breaded or battered (whole fish),CP0113301,"Breaded and battered fish, chilled or frozen",Groceries,Fish,Other preserved or processed fish and seafood-based preparations,Fish,Food,Food and non-alcoholic beverages,500 g,5.74
