ID_START,ID_NAME,CONSUMPTION_SEGMENT_CODE,CONSUMPTION_SEGMENT_NAME,Category1,Category2,COICOP5_NAME,COICOP4_NAME,COICOP3_NAME,COICOP2_NAME,WEIGHT_SIZE,AVERAGE_PRICE
202502,Broccoli,CP0117101,"Cauliflowers, broccoli and other brassicas, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1000 g,2.67
202502,Butter - dairy (block or tub),CP0115201,"Butter, derived from milk",Groceries,"Butter, spreads and oils",Butter,Oils and fats,Food,Food and non-alcoholic beverages,250 g,2.39
202502,Butter - dairy (spreadable),CP0115201,"Butter, derived from milk",Groceries,"Butter, spreads and oils",Butter,Oils and fats,Food,Food and non-alcoholic beverages,450 g,3.68
202502,Cabbage,CP0117101,"Cauliflowers, broccoli and other brassicas, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,each,0.98
202502,Cake - individual snacks and bars,CP0111311,"Cakes, tarts and sweet pies",Groceries,Bakery,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,200 g,1.94
202502,Cake - large and sharing,CP0111311,"Cakes, tarts and sweet pies",Groceries,Bakery,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,each,3.45
202502,Fish - canned tuna,CP0113302,Canned fish,Groceries,Fish,Other preserved or processed fish and seafood-based preparations,Fish,Food,Food and non-alcoholic beverages,150 g,1.06
202502,Fruit - canned,CP0116901,Canned fruit,Groceries,Store cupboard,Preserved fruit and fruit-based products,Fruit,Food,Food and non-alcoholic beverages,400 g,1.13
202502,Canned meat,CP0112504,Canned meat,Groceries,Meat,Other meat preparations,Meat,Food,Food and non-alcoholic beverages,400 g,3.62
202502,Carrots,CP0117401,"Carrots, turnips and similar products, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1000 g,0.93
202502,Cauliflower,CP0117101,"Cauliflowers, broccoli and other brassicas, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,each,1.36
202502,Cereal - gluten free,CP0111401,Breakfast cereals,Groceries,Store cupboard,Breakfast cereals and other cereal products,Bread and cereals,Food,Food and non-alcoholic beverages,350 g,2.59
202502,Cereal - non-sugary,CP0111401,Breakfast cereals,Groceries,Store cupboard,Breakfast cereals and other cereal products,Bread and cereals,Food,Food and non-alcoholic beverages,500 g,2.12
202502,"Cereal, protein and energy bars",CP0111402,Cereal bars and cereal-based snacks,Groceries,Store cupboard,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,40 g,0.45
202502,Cereal - sugary,CP0111401,Breakfast cereals,Groceries,Store cupboard,Breakfast cereals and other cereal products,Bread and cereals,Food,Food and non-alcoholic beverages,500 g,2.35
202502,Champagne,CP0212104,"Wine, champagne and sparkling",Groceries,Alcohol,Wine from grapes,Wine,Alcoholic beverages,Alcoholic beverages and tobacco,750 ml,34.27
202502,Cheese - Brie,CP0114599,"Cheese, other",Groceries,Dairy,Cheese and curd,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,1000 g,11.36
202502,Cheese - Cheddar,CP0114501,"Cheese, cheddar",Groceries,Dairy,Cheese and curd,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,1000 g,8.85
202502,"Cheese - regional (e.g. Cheshire, Red Leicester)",CP0114599,"Cheese, other",Groceries,Dairy,Cheese and curd,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,1000 g,10.09
202502,Cheese - spreadable,CP0114599,"Cheese, other",Groceries,Dairy,Cheese and curd,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,150 g,1.4
202502,Chicken - Kiev or Kyiv,CP0112502,Breaded chicken and similar poultry preparations,Groceries,Meat,Other meat preparations,Meat,Food,Food and non-alcoholic beverages,300 g,3.18
202502,Chicken - nuggets,CP0112502,Breaded chicken and similar poultry preparations,Groceries,Meat,Other meat preparations,Meat,Food,Food and non-alcoholic beverages,400 g,2.74
202502,Chicken - fillet or steak,CP0112204,"Meat of chicken, fresh, chilled or frozen",Groceries,Meat,Poultry,Meat,Food,Food and non-alcoholic beverages,1000 g,9.04
202502,Chicken - whole,CP0112204,"Meat of chicken, fresh, chilled or frozen",Groceries,Meat,Poultry,Meat,Food,Food and non-alcoholic beverages,1000 g,4.51
202502,Chocolate - with filling,CP0118503,"Chocolate, wafer or other filling (excl. assortment and cooking)",Groceries,Chocolate and sweets,Confectionery products,"Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,50 g,1.01
202502,Chocolate - assortments (e.g. selection box),CP0118502,"Chocolate, assortment (e.g. selection box)",Groceries,Chocolate and sweets,Chocolate,"Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,300 g,6.66
202502,Chocolate - plain or flavoured,CP0118501,"Chocolate, no additional filling (excl. assortment and cooking)",Groceries,Chocolate and sweets,Chocolate,"Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,150 g,2.64
202502,Cider - apple,CP0212201,"Cider, apple",Groceries,Alcohol,Wine from other fruits,Wine,Alcoholic beverages,Alcoholic beverages and tobacco,2000 ml,5.03
202502,Cider - flavoured,CP0212202,"Cider, flavoured",Groceries,Alcohol,Wine from other fruits,Wine,Alcoholic beverages,Alcoholic beverages and tobacco,500 ml,2.23
202502,Tobacco - cigarettes,CP0230101,Cigarettes,Tobacco,Cigars and cigarettes,Cigarettes,Tobacco,Tobacco,Alcoholic beverages and tobacco,20 pack,15.67
202502,Tobacco - cigars,CP0230201,Cigars,Tobacco,Cigars and cigarettes,Cigars,Tobacco,Tobacco,Alcoholic beverages and tobacco,5 pack,9.87
202502,Clementines and mandarins,CP0116201,"Oranges, tangerines and similar citrus fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,1000 g,2.76
202502,Coffee - instant,CP0122001,Coffee,Groceries,Soft drinks,Coffee,"Coffee, tea and cocoa",Non-alcoholic beverages,Food and non-alcoholic beverages,100 g,3.55
202502,Coffee - pods or capsules,CP0122001,Coffee,Groceries,Soft drinks,Coffee,"Coffee, tea and cocoa",Non-alcoholic beverages,Food and non-alcoholic beverages,100 g,4.17
202502,Coffee - sachets,CP0122001,Coffee,Groceries,Soft drinks,Coffee,"Coffee, tea and cocoa",Non-alcoholic beverages,Food and non-alcoholic beverages,150 g,2.1
202502,"Cola - full sugar, bottles",CP0126001,Cola and lemonade,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1500 ml,2.31
202502,"Cola - full sugar, cans",CP0126001,Cola and lemonade,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,2000 ml,4.17
202502,"Cola - low or no sugar, bottles",CP0126001,Cola and lemonade,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1500 ml,1.93
202502,"Deli meats - continental (e.g. cured meats, salami, prosciutto)",CP0112301,Cooked ham and continental meats (e.g. salami),Groceries,Meat,"Dried, salted or smoked meat",Meat,Food,Food and non-alcoholic beverages,70 g,2.27
202502,Sauces - cook-in or marinades,CP0119304,Pre-made sauces (e.g. bolognese),Groceries,Store cupboard,"Sauces, condiments",Food products (nec),Food,Food and non-alcoholic beverages,450 g,2.17
202502,"Chicken - cooked (e.g. slices, chunks, or pieces)",CP0112302,"Cooked poultry, slices and deli foods",Groceries,Meat,Poultry,Meat,Food,Food and non-alcoholic beverages,140 g,2.24
202502,"Pork or ham - cooked (e.g. slices, chunks, or pieces)",CP0112301,Cooked ham and continental meats (e.g. salami),Groceries,Meat,"Dried, salted or smoked meat",Meat,Food,Food and non-alcoholic beverages,150 g,2.47
202502,Cookies,CP0111309,"Biscuits, sweet",Groceries,Biscuits,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,300 g,1.98
202502,Courgette,CP0117202,"Courgettes and other gourds, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1000 g,3.08
202502,Couscous - dry,CP0111503,Couscous,Groceries,Store cupboard,Pasta products and couscous,Bread and cereals,Food,Food and non-alcoholic beverages,300 g,1.3
202502,Crackers,CP0111310,"Biscuits, savoury",Groceries,Biscuits,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,250 g,1.31
202502,"Cream - pouring and cooking (e.g. single, whipping)",CP0114301,Cream products,Groceries,Dairy,Other milk products,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,275 ml,1.54
202502,Crisps - corn,CP0117904,"Crisps, corn",Groceries,Crisps,Crisps,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,50 g,0.6
202502,"Crisps - potato, sharing or multipacks",CP0117903,"Crisps, potato",Groceries,Crisps,Crisps,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,150 g,1.81
202502,"Crisps - potato, individual packs",CP0117903,"Crisps, potato",Groceries,Crisps,Crisps,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,35 g,0.98
202502,Crisps - vegetable,CP0117905,"Crisps, other vegetables",Groceries,Crisps,Crisps,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,100 g,2.11
202602,Croissant,CP0111306,Pastries and similar breakfast bakery products,Groceries,Bakery,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,each,0.77
202502,Crumpets,CP0111308,Other breakfast bakery products,Groceries,Bakery,Other bakery products,Bread and cereals,Food,Food and non-alcoholic beverages,6 pack,0.91
202502,Cucumber,CP0117202,"Courgettes and other gourds, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,each,1.01
202502,"Dried fruit preparations (not chocolate, e.g. mixed)",CP0116701,"Fruit, dried and dehydrated",Groceries,Store cupboard,Dried fruit and nuts,Fruit,Food,Food and non-alcoholic beverages,200 g,2.7
202502,Rice - basmati or jasmine,CP0111101,"Rice, in all forms (excl. rice flour)",Groceries,Store cupboard,Rice,Bread and cereals,Food,Food and non-alcoholic beverages,750 g,1.84
202502,Pasta - dry,CP0111501,"Pasta and noodles, dry or fresh",Groceries,Store cupboard,Pasta products and couscous,Bread and cereals,Food,Food and non-alcoholic beverages,500 g,0.97
202502,Seeds - singular or mixed,CP0119402,Edible Seeds,Groceries,Store cupboard,Dried fruit and nuts,Fruit,Food,Food and non-alcoholic beverages,200 g,1.87
202502,Eggs - free-range,CP0114801,"Eggs, from chickens",Groceries,Dairy,Eggs,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,12 pack,3.92
202502,Energy drinks,CP0129002,Energy drinks,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,375 ml,1.53
202502,Ready meals - fish,CP0119101,"Pre-cooked dishes based on meat, fish, vegetables, pasta or other cereals, chilled or frozen",Groceries,Pre-made food,Ready-made meals,Food products (nec),Food,Food and non-alcoholic beverages,400 g,3.91
202502,Milk - flavoured,CP0114702,Milk-based beverages (excl. yoghurt),Groceries,Dairy,Other milk products,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,350 ml,1.22
202502,Water - flavoured,CP0125001,Water,Groceries,Soft drinks,Mineral or spring waters,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1200 ml,1
202502,Flour - self-raising,CP0111201,"Flour, wheat-based",Groceries,Store cupboard,Flours and other cereals,Bread and cereals,Food,Food and non-alcoholic beverages,1500 g,1
202502,Fish - fresh cod,CP0113102,"Cod, haddock, hake and pollock, fresh or chilled",Groceries,Fish,Fresh or chilled fish,Fish,Food,Food and non-alcoholic beverages,1000 g,22.36
202502,Fish - fresh salmon,CP0113101,"Salmon and trout, fresh or chilled",Groceries,Fish,Fresh or chilled fish,Fish,Food,Food and non-alcoholic beverages,1000 g,21.19
202502,Fresh pot dessert - dairy,CP0114701,Milk-based desserts (excl. yoghurt),Groceries,Dairy,Other milk products,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,150 g,1.14
202502,Fruit - frozen,CP0116601,Frozen fruit,Groceries,Frozen food,Preserved fruit and fruit-based products,Fruit,Food,Food and non-alcoholic beverages,500 g,3.08
202502,Mixed vegetables - frozen,CP0117801,"Vegetables, frozen",Groceries,Frozen food,Frozen vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,750 g,1.65
202502,Peas - frozen,CP0117801,"Vegetables, frozen",Groceries,Frozen food,Frozen vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,900 g,2.04
202502,Frozen potato chips and wedges (incl. sweet),CP0117902,"Chips and other potato products, frozen",Groceries,Potatoes,Potatoes,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1200 g,2.77
202502,Seafood - frozen prawns and shrimps,CP0113402,"Shrimps and prawns, frozen",Groceries,Frozen food,Frozen seafood,Fish,Food,Food and non-alcoholic beverages,1000 g,19.04
202502,Fruit juice - juice and water blends,CP0121002,"Fruit juices, from concentrate",Groceries,Soft drinks,Fruit and vegetable juices,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1500 ml,2.83
202502,Fruit juice - not from concentrate,CP0121001,"Fruit juices and smoothies, not from concentrate",Groceries,Soft drinks,Fruit and vegetable juices,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1000 ml,2.34
202502,Fruit salad,CP0116902,Mixed fresh fruit preparations,Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,250 g,2.41
202502,Fruit smoothies,CP0121001,"Fruit juices and smoothies, not from concentrate",Groceries,Soft drinks,Fruit and vegetable juices,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,750 ml,3.07
202502,Fruit squash,CP0121003,Fruit squashes and cordials,Groceries,Soft drinks,Fruit and vegetable juices,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1000 ml,1.77
202502,Garlic bread,CP0111305,Bread side dishes (e.g. garlic bread),Groceries,Bakery,Bread,Bread and cereals,Food,Food and non-alcoholic beverages,200 g,1.31
202502,Grapefruit,CP0116299,"Other citrus fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,0.59
202502,Grapes,CP0116501,"Other fruits n.e.c., fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,1000 g,4.7
202502,Herbs - dried,CP0119401,Spices and culinary herbs (excl. seeds),Groceries,Store cupboard,"Sauces, condiments",Food products (nec),Food,Food and non-alcoholic beverages,10 g,0.96
202502,Honey,CP0118302,Honey,Groceries,"Jams, marmalades and honey","Jams, marmalades and honey","Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,400 g,2.36
202502,Hot chocolate and cocoa powder,CP0124001,Cocoa drinks,Groceries,Soft drinks,Cocoa and powdered chocolate,"Coffee, tea and cocoa",Non-alcoholic beverages,Food and non-alcoholic beverages,300 g,3.39
202602,Houmous,CP0117999,Other vegetable and tuber preparations,Groceries,Store cupboard,"Dried vegetables, other preserved or processed vegetables",Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,200 g,1.52
202502,"Ice cream - bars, lollies, and cones",CP0118602,"Ice cream bars, lollies and cones",Groceries,Frozen food,Edible ices and ice cream,"Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,100 ml,0.88
202502,Ice cream - tubs (incl. yoghurt),CP0118601,Ice cream tubs (incl. yoghurt),Groceries,Frozen food,Edible ices and ice cream,"Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,750 ml,3.28
202502,Jam or conserve,CP0118301,Jams and marmalade,Groceries,"Jams, marmalades and honey","Jams, marmalades and honey","Sugar, jam, syrups, chocolate and confectionery",Food,Food and non-alcoholic beverages,400 g,1.67
202502,Kiwis,CP0116501,"Other fruits n.e.c., fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,0.51
202502,"Lamb - steaks, chops or fillets",CP0112203,"Meat of goats, lambs and sheep, fresh, chilled or frozen",Groceries,Meat,Lamb and goat,Meat,Food,Food and non-alcoholic beverages,1000 g,20.33
202502,Leafy salad bag,CP0117404,"Vegetable mixes and salad bags, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,150 g,1.39
202502,Lemons,CP0116299,"Other citrus fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,0.37
202502,"Lemonade - full sugar, bottles",CP0126001,Cola and lemonade,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,2000 ml,1.37
202502,Lettuce,CP0117199,"Other leafy or stem vegetables, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,each,0.97
202502,Offal - liver,CP0112401,"Offal, fresh, chilled or frozen, dried, salted, in brine or smoked",Groceries,Meat,Edible offal,Meat,Food,Food and non-alcoholic beverages,1000 g,6.63
202502,Mangoes (fresh),CP0116199,"Other tropical fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,1.26
202502,Margarine - milk and vegetable blend,CP0115301,Margarine and similar preparations,Groceries,"Butter, spreads and oils",Margarine and other vegetable fats,Oils and fats,Food,Food and non-alcoholic beverages,500 g,2.34
202502,Margarine - vegetable,CP0115301,Margarine and similar preparations,Groceries,"Butter, spreads and oils",Margarine and other vegetable fats,Oils and fats,Food,Food and non-alcoholic beverages,500 g,2.15
202502,Condiments - mayonnaise,CP0119302,Condiments,Groceries,Store cupboard,"Sauces, condiments",Food products (nec),Food,Food and non-alcoholic beverages,500 ml,1.75
202502,Meat-based packet snacks,CP0112599,Other meats and meat preparations n.e.c.,Groceries,Meat,Other meat preparations,Meat,Food,Food and non-alcoholic beverages,250 g,3.15
202502,"Pastry - meat-based (e.g. pie, pasty, roll)",CP0112503,"Meat pies, rolls and pastries",Groceries,Meat,Other meat preparations,Meat,Food,Food and non-alcoholic beverages,200 g,2.1
202502,Ready meals - meat (not fish or pasta),CP0119101,"Pre-cooked dishes based on meat, fish, vegetables, pasta or other cereals, chilled or frozen",Groceries,Pre-made food,Ready-made meals,Food products (nec),Food,Food and non-alcoholic beverages,400 g,3.36
202502,Melons,CP0116501,"Other fruits n.e.c., fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,2.1
202502,"Milk - cow's (semi-skimmed, fresh)",CP0114201,"Skimmed or semi-skimmed milk of cows, store-bought",Groceries,Dairy,Fresh low fat milk,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,1136 ml,1.15
202502,"Milk - cow's (whole, fresh)",CP0114101,"Whole milk of cows, store-bought",Groceries,Dairy,Fresh whole milk,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,2272 ml,1.87
202502,Mixer (e.g. tonic) - full sugar,CP0126099,Other fizzy drinks,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,1000 ml,1.51
202502,Mushrooms,CP0117403,"Mushrooms, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1000 g,3.94
202502,Noodles - Asian-style,CP0111501,"Pasta and noodles, dry or fresh",Groceries,Store cupboard,Pasta products and couscous,Bread and cereals,Food,Food and non-alcoholic beverages,300 g,1.36
202502,"Nuts preparations (not chocolate, e.g. mixed, salted)",CP0116999,Other fruit and nut preparations,Groceries,Store cupboard,Dried fruit and nuts,Fruit,Food,Food and non-alcoholic beverages,225 g,1.83
202502,Milk - oat,CP0114401,Non-animal milk,Groceries,Dairy,Other milk products,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,1000 ml,1.66
202502,Oats or porridge,CP0111404,Oats and porridge,Groceries,Store cupboard,Breakfast cereals and other cereal products,Bread and cereals,Food,Food and non-alcoholic beverages,750 g,2.25
202502,Oil - olive,CP0115101,Olive oil,Groceries,"Butter, spreads and oils",Olive oil,Oils and fats,Food,Food and non-alcoholic beverages,750 ml,6.61
202502,Onions,CP0117402,"Onions and other bulbs, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1000 g,1.18
202502,Oranges,CP0116201,"Oranges, tangerines and similar citrus fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,0.5
202502,Beans - fresh (excl. soya or edamame),CP0117301,"Green leguminous vegetables, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,1000 g,5.01
202502,"Other fizzy drink - full sugar, bottles",CP0126099,Other fizzy drinks,Groceries,Soft drinks,Soft drinks,"Mineral waters, soft drinks and juices",Non-alcoholic beverages,Food and non-alcoholic beverages,500 ml,1.5
202502,Cheese - parmesan and similar products,CP0114599,"Cheese, other",Groceries,Dairy,Cheese and curd,"Milk, cheese and eggs",Food,Food and non-alcoholic beverages,1000 g,23.69
202502,Pasta and noodles - instant pots or packets,CP0111502,"Pasta and noodles, packet or pot",Groceries,Store cupboard,Pasta products and couscous,Bread and cereals,Food,Food and non-alcoholic beverages,100 g,0.98
202502,Peanut butter,CP0118401,Peanut and other nut butters,Groceries,Store cupboard,Margarine and other vegetable fats,Oils and fats,Food,Food and non-alcoholic beverages,300 g,2.07
202502,Pears,CP0116399,"Other stone fruits and pome fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,1000 g,2.43
202502,Peppers,CP0117201,"Chilies and peppers, fresh or chilled",Groceries,Fresh vegetables,Fresh or chilled vegetables other than potatoes and other tubers,Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,each,1.61
202502,Pickled vegetables,CP0117998,Pickled vegetables,Groceries,"Sauces, pickles, chutney","Dried vegetables, other preserved or processed vegetables",Vegetables including potatoes and tubers,Food,Food and non-alcoholic beverages,400 g,1.94
202502,Pineapple (fresh),CP0116199,"Other tropical fruits, fresh",Groceries,Fresh fruit,Fresh or chilled fruit,Fruit,Food,Food and non-alcoholic beverages,each,1.51
