ID_START,ID_NAME,CONSUMPTION_SEGMENT_CODE,CONSUMPTION_SEGMENT_DESC,Category1,Category2,COICOP5,COICOP4,COICOP3,COICOP2,WEIGHT\SIZE,AVERAGE_PRICE
201102,Women's high heeled shoes,510533,Women's high heeled shoes,Clothing and footwear,Women's footwear,Footwear for women,Footwear including repairs,Footwear including repairs,Clothing and footwear,,
202602,Women's canvas shoes,510537,Women's canvas shoes,Clothing and footwear,Women's footwear,Footwear for women,Footwear including repairs,Footwear including repairs,Clothing and footwear,,17.71
198702,Toothpaste,520209,Toothpaste,Health,Personal hygiene and wellness,Articles for personal hygiene and wellness,/ Appliances and products for personal care,Personal care,Miscellaneous goods and services,,
198702,Tissues,520213,Tissues,Health,Personal hygiene and wellness,Articles for personal hygiene and wellness,/ Appliances and products for personal care,Personal care,Miscellaneous goods and services,large box,1.63
198702,Facial moisturiser,520215,Facial moisturiser,Health,Personal hygiene and wellness,Articles for personal hygiene and wellness,/ Appliances and products for personal care,Personal care,Miscellaneous goods and services,50-150ml,
198702,Deodorant/anti perspirant,520216,Deodorant/anti perspirant,Health,Personal hygiene and wellness,Articles for personal hygiene and wellness,/ Appliances and products for personal care,Personal care,Miscellaneous goods and services,50-250ml,2.55
199302,Mascara,520223,Mascara,Health,Personal hygiene and wellness,Articles for personal hygiene and wellness,/ Appliances and products for personal care,Personal care,Miscellaneous goods and services,,10.04
198702,Men's haircut,520301,Men's haircut,Services,Hairdressing,Hairdressing for men and children,Hairdressing and personal grooming establishments,Personal care,Miscellaneous goods and services,,15.79
198702,Women's hairdressing (cut & blow dry),520303,Women's hairdressing (cut & blow dry),Services,Hairdressing,Hairdressing for women,Hairdressing and personal grooming establishments,Personal care,Miscellaneous goods and services,,46.04
202402,Adult electric bike,610115,Adult electric bike,Transport,Bikes and cycling equipment,Motor cycles,/ Motorcycles and bicycles,Purchase of vehicles,Transport, ,1640.44
198702,Car tyre,610204,Car tyre,Transport,Spare parts,Tyres,Spare parts and accessories,Operation of personal transport equipment,Transport,,81.76
198702,Car spare parts,610207,Car spare parts,Transport,Spare parts,Spare parts for personal transport equipment,Spare parts and accessories,Operation of personal transport equipment,Transport,,
200702,Ultra low sulphur diesel,610309,Ultra low sulphur diesel,Transport,Petrol and diesel,Diesel,Fuels and lubricants,Operation of personal transport equipment,Transport,,1.36
200702,Ultra low sulphur petrol,610310,Ultra low sulphur petrol,Transport,Petrol and diesel,Petrol,Fuels and lubricants,Operation of personal transport equipment,Transport,,1.38
202502,VR headset,630168,VR headset,Recreation and culture,Audio and visual equipment,Accessories for information processing equipment,Data processing equipment,Audio-visual equipment and related products,Recreation and culture,single,637.14
201802,Action camera,630377,Action camera,Recreation and culture,Audio and visual equipment,"Photographic, cinematographic and optical equipment","Photographic, cinematographic and optical equipment",Audio-visual equipment and related products,Recreation and culture,,
198702,Historic monument admission,640211,Historic monument admission,Recreation and culture,Activity,Museums; libraries; zoological gardens,Cultural services,Recreational and cultural services,Recreation and culture,,
198702,Theatre ticket,640212,Theatre ticket,Recreation and culture,Activity,Cinemas; theatres; concerts,Cultural services,Recreational and cultural services,Recreation and culture,one adult,30.84
202602,"Dried rice, basmati/jasmine",CP0111101,"Rice, in all forms (excl. rice flour)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Bread and cereals,Rice,750 g,2.5
202602,Rice cakes,CP0111101,"Rice, in all forms (excl. rice flour)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Bread and cereals,Rice,140 g,1.5
202602,"Rice, microwave",CP0111101,"Rice, in all forms (excl. rice flour)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Bread and cereals,Rice,each,1.0
202602,"Bread, sliced, white",CP0111301,"Bread, white",Food and drink,Bakery,Food and non-alcoholic beverages,Food,Bread and cereals,Bread,800 g,1.4
202602,"Bread, unsliced, white",CP0111301,"Bread, white",Food and drink,Bakery,Food and non-alcoholic beverages,Food,Bread and cereals,Bread,800 g,1.5
202602,"Cooked Pork/ham, slices/chunks/pieces",CP0112301,Cooked ham and continental meats (e.g. salami),Food and drink,Meat,Food and non-alcoholic beverages,Food,Meat,Dried; salted or smoked meat,150 g,2.0
202602,Salami/cured meats,CP0112301,Cooked ham and continental meats (e.g. salami),Food and drink,Meat,Food and non-alcoholic beverages,Food,Meat,Dried; salted or smoked meat,70 g,2.5
202602,"Breaded/battered fish, fish fingers and goujons",CP0113301,"Breaded and battered fish, chilled or frozen",Food and drink,Fish,Food and non-alcoholic beverages,Food,Fish,Other pres or processed fish & seafood-based preps,10 pack,3.5
202602,"Breaded/battered fish, whole fish",CP0113301,"Breaded and battered fish, chilled or frozen",Food and drink,Fish,Food and non-alcoholic beverages,Food,Fish,Other pres or processed fish & seafood-based preps,475 g,5.0
202602,"Canned fish, tuna",CP0113302,Canned fish,Food and drink,Fish,Food and non-alcoholic beverages,Food,Fish,Other pres or processed fish & seafood-based preps,each,1.5
202602,Extra-virgin olive oil,CP0115101,Olive oil,Food and drink,"Butter, spreads and oils",Food and non-alcoholic beverages,Food,Oils and fats,Olive oil,200 ml,3.0
202602,Olive oil,CP0115101,Olive oil,Food and drink,"Butter, spreads and oils",Food and non-alcoholic beverages,Food,Oils and fats,Olive oil,1000 ml,6.0
202602,Grapes,CP0116501,"Other fruits n.e.c., fresh",Food and drink,Fresh fruit,Food and non-alcoholic beverages,Food,Fruit,Fresh or chilled fruit,1000 g,3.0
202602,Kiwis,CP0116501,"Other fruits n.e.c., fresh",Food and drink,Fresh fruit,Food and non-alcoholic beverages,Food,Fruit,Fresh or chilled fruit,each,0.35
202602,Melons,CP0116501,"Other fruits n.e.c., fresh",Food and drink,Fresh fruit,Food and non-alcoholic beverages,Food,Fruit,Fresh or chilled fruit,each,2.5
202602,Broccoli,CP0117101,"Cauliflowers, broccoli and other brassicas, fresh or chilled",Food and drink,Fresh vegetables,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Fresh/chill veg other than potatoes & other tubers,1000 g,3.0
202602,Cabbage,CP0117101,"Cauliflowers, broccoli and other brassicas, fresh or chilled",Food and drink,Fresh vegetables,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Fresh/chill veg other than potatoes & other tubers,1000 g,1.2
202602,Baked beans,CP0117901,"Vegetables, tubers and pulses, canned or jarred (excl. pickled vegetables)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Dried vegetables; other preserved or processed vegetables,412 g,0.5
202602,Canned sweetcorn,CP0117901,"Vegetables, tubers and pulses, canned or jarred (excl. pickled vegetables)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Dried vegetables; other preserved or processed vegetables,260 g,0.8
202602,Canned tomatoes,CP0117901,"Vegetables, tubers and pulses, canned or jarred (excl. pickled vegetables)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Dried vegetables; other preserved or processed vegetables,395 g,0.6
202602,"Canned/jarred beans (e.g. red kidney, not baked beans)",CP0117901,"Vegetables, tubers and pulses, canned or jarred (excl. pickled vegetables)",Food and drink,Store cupboard,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Dried vegetables; other preserved or processed vegetables,400 g,0.8
202602,Vegetable burgers/bites,CP0117906,Vegetarian and vegan meat substitutes,Food and drink,Other food,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Dried vegetables; other preserved or processed vegetables,360 g,2.5
202602,Vegetable sausages/fingers,CP0117906,Vegetarian and vegan meat substitutes,Food and drink,Other food,Food and non-alcoholic beverages,Food,Vegetables including potatoes and tubers,Dried vegetables; other preserved or processed vegetables,280 g,2.2
202602,"Sweets, chewing/bubble gum",CP0118901,"Sweets, mints and chewing gum",Food and drink,Chocolate and sweets,Food and non-alcoholic beverages,Food,"Sugar, jam, syrups, chocolate and confectionery",Confectionery products,each,0.1
202602,"Sweets, mints",CP0118901,"Sweets, mints and chewing gum",Food and drink,Chocolate and sweets,Food and non-alcoholic beverages,Food,"Sugar, jam, syrups, chocolate and confectionery",Confectionery products,each,0.1
202602,"Sweets, hard (toffee, boiled)",CP0118902,"Sweets, soft and hard (excl. mints and chewing gum)",Food and drink,Chocolate and sweets,Food and non-alcoholic beverages,Food,"Sugar, jam, syrups, chocolate and confectionery",Confectionery products,195 g,1.5
202602,"Sweets, soft (e.g. jelly, pastille)",CP0118902,"Sweets, soft and hard (excl. mints and chewing gum)",Food and drink,Chocolate and sweets,Food and non-alcoholic beverages,Food,"Sugar, jam, syrups, chocolate and confectionery",Confectionery products,175 g,1.5
202602,Baby formula,CP0119202,Baby formula,Food and drink,Other food,Food and non-alcoholic beverages,Food,"Milk, cheese and eggs",Other milk products,800 g,12.0
202602,"Coffee, instant",CP0122001,Coffee,Food and drink,Soft drinks                                                                                ,Food and non-alcoholic beverages,Non-alcoholic beverages,"Coffee, tea and cocoa",Coffee,95 g,3.5
202602,"Coffee, pods or capsules",CP0122001,Coffee,Food and drink,Soft drinks                                                                                ,Food and non-alcoholic beverages,Non-alcoholic beverages,"Coffee, tea and cocoa",Coffee,12 pack,4.5
202602,"Coffee, sachets",CP0122001,Coffee,Food and drink,Soft drinks                                                                                ,Food and non-alcoholic beverages,Non-alcoholic beverages,"Coffee, tea and cocoa",Coffee,each,0.3
202602,"Spirits, gin",CP0211001,"Spirits, gin",Food and drink,Alcohol,Alcoholic beverages and tobacco,Alcoholic beverages,Spirits,Spirits,700 ml,20.0
