ID_START,ID_NAME,CONSUMPTION_SEGMENT_CODE,CONSUMPTION_SEGMENT_DESC,Category1,Category2,COICOP5,COICOP4,COICOP3,COICOP2,WEIGHT\SIZE,AVERAGE_PRICE
200302,Primary school meal (fixed charges),220209,Primary school meal (fixed charges),Food and drink establishments,Schools,Canteens,Canteens,Catering services,Restaurants and hotels,,2.37
200302,Secondary school (cafeteria),220210,Secondary school (cafeteria),Food and drink establishments,Schools,Canteens,Canteens,Catering services,Restaurants and hotels,,2.97
200302,Takeaway kebab,220323,Takeaway kebab,Food and drink establishments,Fast food and take aways,Fast food and take away food services,"Restaurants, cafes",Catering services,Restaurants and hotels,,7.06
201202,Takeaway chicken & chips,220326,Takeaway chicken & chips,Food and drink establishments,Fast food and take aways,Fast food and take away food services,"Restaurants, cafes",Catering services,Restaurants and hotels,,7.23
201802,Takeaway cooked pastry,220327,Takeaway cooked pastry,Food and drink establishments,Fast food and take aways,Fast food and take away food services,"Restaurants, cafes",Catering services,Restaurants and hotels,,1.99
200501,Carpenter,410518,Carpenter,Services,Maintenance and repair,Services of carpenters,Services for maintenance and repair,Regular maintenance and repair of the dwelling,"Housing, water, electricity, gas and other fuels",hourly rate,26.31
198702,Electric kettle,430307,Electric kettle,Household items,Electrical,Coffee machines; tea makers and similar appliances,/ Major appliances and small electric goods,"Household appliances, fitting and repairs","Furniture, household equipment and maintenance",1.5-1.7litre,30.79
199902,Electric iron,430317,Electric iron,Household items,Electrical,Irons,/ Major appliances and small electric goods,"Household appliances, fitting and repairs","Furniture, household equipment and maintenance",,42.92
199902,Electric razor,430321,Electric razor,Household items,Electrical,Electric appliances for personal care - Not being published,/ Appliances and products for personal care,Personal care,Miscellaneous goods and services,,
200102,Stainless steel cutlery set,430419,Stainless steel cutlery set,Household items,Cookware,Cutlery; flatware and silverware,"Glassware, Tableware and Household Utensils","Glassware, tableware and household utensils","Furniture, household equipment and maintenance",,17.52
200501,Frying pan (non-stick),430423,Frying pan (non-stick),Household items,Cookware,Non-electric kitchen utensils and articles,"Glassware, Tableware and Household Utensils","Glassware, tableware and household utensils","Furniture, household equipment and maintenance",24-30cm,18.94
200302,Dog kennel fees,430622,Dog kennel fees,Recreation and culture,Pets,Veterinary and other services for pets,"/ Pets, related products and services","Other recreational items, gardens and pets",Recreation and culture,daily charge,24.12
200501,Small pet mammal,430623,Small pet mammal,Recreation and culture,Pets,Purchase of pets,"/ Pets, related products and services","Other recreational items, gardens and pets",Recreation and culture,,
198702,Domestic cleaner,440101,Domestic cleaner,Services,Maintenance and repair,Other domestic services and household services,Domestic services and household services,Goods and services for routine maintenance,"Furniture, household equipment and maintenance",hourly rate,17.88
201302,Men's short sleeved t-shirt,510132,Men's short sleeved t-shirt,Clothing and footwear,Men's clothing,Garments for men,Garments,Clothing,Clothing and footwear,,17.64
202202,Men's loungewear bottoms,510133,Men's loungewear bottoms,Clothing and footwear,Men's clothing,Garments for men,Garments,Clothing,Clothing and footwear,,27.8
202302,Men's formal jacket/blazer,510134,Men's formal jacket/blazer,Clothing and footwear,Men's clothing,Garments for men,Garments,Clothing,Clothing and footwear,,143.82
198702,Men's pants/boxers,510402,Men's pants/boxers,Clothing and footwear,Men's clothing,Garments for men,Garments,Clothing,Clothing and footwear,,
198702,Women's tights,510415,Women's tights,Clothing and footwear,Women's clothing,Garments for women,Garments,Clothing,Clothing and footwear,,
202302,Sports bra/crop top,510435,Sports bra/crop top,Clothing and footwear,Women's clothing,Garments for women,Garments,Clothing,Clothing and footwear,,28.43
